frase,situacao
Sinto febre junto com inquietação na cabeça ao acordar,baixo risco
náusea intensa nos olhos após comer,alto risco
suor excessivo leve na cabeça à noite,baixo risco
Tenho aguda calafrio no peito ao acordar,alto risco
Tenho contínua perda de equilíbrio na coluna ao acordar,alto risco
Apresentei forte palpitação seguida de perda de equilíbrio na garganta,alto risco
Tenho moderada náusea na garganta durante o repouso,baixo risco
Tenho repentina falta de ar no peito durante a noite,alto risco
Sensação de suor excessivo intermitente há 2 dias,alto risco
Tenho intensa inchaço na coluna há uma semana,alto risco
Sinto suor excessivo seguida de inchaço na lombar ao acordar,baixo risco
Apresentei forte suor excessivo associada a tontura nos pés,baixo risco
Sinto perda de equilíbrio e aperto nas mãos durante a noite,baixo risco
Apresentei persistente cansaço seguida de dor na cabeça,alto risco
dor aguda na lombar após esforço,alto risco
Sinto desconforto associada a inquietação nos olhos após esforço,alto risco
Sensação de confusão mental intermitente há 2 dias,baixo risco
Sinto náusea com perda de equilíbrio nos pés há 2 dias,baixo risco
Sinto dor no peito junto com inchaço na coluna à noite,alto risco
confusão mental leve nas pernas há 2 dias,alto risco
Tenho leve cansaço nas costas após comer,baixo risco
Sinto cansaço associada a dor no peito no peito durante a noite,baixo risco
Tenho intermitente desconforto na garganta de manhã,baixo risco
Sensação de suor excessivo aguda de manhã,alto risco
Tenho intermitente inquietação nas costas durante a noite,alto risco
Apresentei contínua dor de cabeça seguida de febre nos pés,baixo risco
náusea intermitente nas costas à noite,alto risco
Sinto suor excessivo seguida de suor excessivo nas costas ao levantar,alto risco
Tenho persistente náusea no peito durante a noite,alto risco
tontura intermitente no abdômen após esforço,alto risco
Sinto tosse associada a formigamento na lombar ao acordar,alto risco
Tenho persistente febre nos olhos há 2 dias,baixo risco
Apresentei moderada inchaço e cansaço nos pés,alto risco
Sinto fraqueza junto com perda de visão na coluna há 2 dias,baixo risco
Sensação de suor excessivo aguda há uma semana,alto risco
Sinto dor seguida de coceira nos olhos há uma semana,alto risco
formigamento moderada nos braços há 2 dias,baixo risco
Tenho repentina inchaço nas pernas ao acordar,alto risco
Sinto aperto com coceira na cabeça à noite,baixo risco
Tenho intensa tosse na lombar durante a noite,alto risco
Sensação de cansaço intensa após esforço,alto risco
Tenho moderada fraqueza nas pernas ao acordar,baixo risco
Tenho persistente febre na coluna durante o repouso,baixo risco
Tenho aguda desconforto no peito há uma semana,alto risco
Sensação de aperto intensa após comer,baixo risco
Apresentei crônica dor abdominal associada a dor de cabeça nas costas,alto risco
Tenho intensa formigamento na garganta ao acordar,baixo risco
Sensação de falta de ar forte após esforço,alto risco
falta de ar intensa nos braços de manhã,baixo risco
Apresentei forte tosse seguida de coceira na coluna,alto risco
Apresentei contínua aperto seguida de dor na lombar,baixo risco
Sensação de rigidez muscular crônica há 2 dias,alto risco
Tenho intensa tontura nos braços à noite,baixo risco
Apresentei intermitente perda de equilíbrio associada a palpitação nos braços,baixo risco
inquietação intermitente nas pernas há uma semana,alto risco
Apresentei intermitente dor abdominal junto com tosse na coluna,baixo risco
Apresentei intermitente suor excessivo junto com dor abdominal no peito,alto risco
febre intensa na lombar há uma semana,baixo risco
Sinto coceira com rigidez muscular nos braços durante a noite,baixo risco
Tenho persistente confusão mental nas pernas ao levantar,baixo risco
Apresentei contínua febre seguida de perda de visão nas costas,alto risco
Apresentei intermitente inquietação e formigamento na garganta,alto risco
Sensação de fraqueza persistente há 2 dias,alto risco
Sinto dor no peito associada a náusea na lombar há uma semana,alto risco
Apresentei intermitente confusão mental junto com confusão mental nos pés,baixo risco
tontura persistente no peito há 2 dias,baixo risco
Sinto dor abdominal junto com confusão mental nos pés durante o repouso,alto risco
Apresentei aguda aperto com dor na garganta,alto risco
Sinto dor associada a tontura nas pernas ao acordar,baixo risco
Sinto coceira associada a coceira nas costas ao acordar,baixo risco
Sensação de formigamento persistente durante a noite,alto risco
Sensação de perda de equilíbrio persistente durante o repouso,alto risco
Tenho aguda coceira nos olhos à noite,alto risco
suor excessivo contínua no peito ao levantar,baixo risco
Tenho aguda dor nos pés há 2 dias,baixo risco
dor abdominal intermitente nos pés ao levantar,baixo risco
náusea repentina no peito após comer,alto risco
Tenho forte cansaço nas pernas há 2 dias,alto risco
Apresentei intermitente inchaço associada a confusão mental nas pernas,alto risco
Sensação de aperto leve após esforço,baixo risco
Apresentei crônica cansaço associada a cansaço na garganta,alto risco
Apresentei intermitente formigamento com calafrio nos olhos,baixo risco
Tenho leve aperto nos braços de manhã,baixo risco
Apresentei repentina formigamento e confusão mental na cabeça,baixo risco
Tenho repentina fraqueza no peito ao levantar,baixo risco
Apresentei contínua coceira com formigamento nas costas,alto risco
Apresentei intensa dor de cabeça seguida de falta de ar nos olhos,baixo risco
cansaço moderada nas mãos ao acordar,baixo risco
Tenho intermitente dor no peito nos braços há 2 dias,baixo risco
aperto repentina na cabeça ao acordar,alto risco
Sinto tontura junto com perda de equilíbrio no peito após esforço,alto risco
Sinto dor abdominal com calafrio na cabeça à noite,alto risco
Apresentei leve confusão mental e formigamento nas costas,baixo risco
Sinto perda de visão com formigamento nos braços após comer,alto risco
Tenho persistente falta de ar nas mãos após comer,alto risco
Tenho aguda fraqueza nos braços à noite,alto risco
Sinto dor de cabeça associada a palpitação nos braços após comer,alto risco
Apresentei leve febre junto com febre nas costas,alto risco
Sinto confusão mental associada a coceira nas pernas ao acordar,alto risco
Sinto cansaço com coceira na coluna durante a noite,baixo risco
Apresentei moderada inquietação e fraqueza nos olhos,alto risco
Apresentei crônica perda de visão associada a confusão mental nas mãos,alto risco
confusão mental repentina nos olhos há 2 dias,alto risco
Sinto palpitação junto com coceira na coluna de manhã,baixo risco
dor de cabeça leve na coluna há 2 dias,alto risco
Apresentei aguda coceira junto com palpitação na coluna,alto risco
palpitação moderada no peito durante a noite,baixo risco
tontura persistente nas costas à noite,baixo risco
Tenho crônica palpitação na coluna após comer,baixo risco
Apresentei leve tosse e inquietação nos braços,baixo risco
Tenho crônica dor de cabeça na garganta há uma semana,alto risco
Sinto tosse junto com tontura nos pés durante a noite,alto risco
rigidez muscular aguda nas pernas durante a noite,baixo risco
Tenho crônica perda de visão nos olhos durante a noite,alto risco
